CourseNum,CourseName,Credits,Description
ECE 480,Magnetic Resonance Imaging,3 or 4,"
Fundamental physical, mathematical, and computational principles governing the data acquisition and image reconstruction of magnetic resonance imaging. Same as BIOE 480. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Recommended: ECE 310.
"
ECE 481,Nanotechnology,4,"
Fundamental physical properties of nanoscale systems. Nanofabrication techniques, semiconductor nanotechnology, molecular and biomolecular nanotechnology, carbon nanotechnology (nanotubes and graphene), nanowires, and nanoscale architectures and systems. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of CHEM 442, CHBE 457, ME 485, MSE 401, PHYS 460.
"
ECE 482,Digital IC Design,3,"
Bipolar and MOS field effect transistor characteristics; VLSI fabrication techniques for MOS and bipolar circuits; calculation of circuit parameters from the process parameters; design of VLSI circuits such as logic, memories, charge-coupled devices, and A/D and D/A converters. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 342.
"
ECE 483,Analog IC Design,3,"
Basic linear integrated circuit design techniques using bi-polar, JFET, and MOS technologies; operational amplifiers; wide-band feedback amplifiers; sinusoidal and relaxation oscillators; electric circuit noise; application of linear integrated circuits. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 342.
"
ECE 484,Prin Adv Microelec Processing,3,"
Principles of advanced methods of pattern delineation, pattern transfer, and modern material growth; how these are applied to produce novel and high performance devices and circuits in various electronic materials with special emphasis on semiconductors. Computer simulation of processes and the manufacturing of devices and circuits. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 444.
"
ECE 485,MEMS Devices & Systems,3,"
Introduction to principles, fabrication techniques, and applications of microelectromechanical systems (MEMS). In-depth analysis of sensors, actuator principles, and integrated microfabrication techniques for MEMS. Comprehensive investigation of state-of-the-art MEMS devices and systems. Same as ME 485. 3 undergraduate hours. 3 graduate hours.
"
ECE 486,Control Systems,4,"
Analysis and design of control systems with emphasis on modeling, state variable representation, computer solutions, modern design principles, and laboratory techniques. 4 undergraduate hours. 4 graduate hours. Prerequisite: ECE 210.
"
ECE 487,Intro Quantum Electr for EEs,3,"
Application of quantum mechanical concepts to electronics problems; detailed analysis of a calculable two-state laser system; incidental quantum ideas bearing on electronics. 3 undergraduate hours. 3 graduate hours. Prerequisite: PHYS 485.
"
ECE 488,Compound Semicond & Devices,3,"
Advanced semiconductor materials and devices; elementary band theory; heterostructures; transport issues; three-terminal devices; two-terminal devices; including lasers and light modulators. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 340 and ECE 350.
"
ECE 489,Robot Dynamics and Control,4,"
Same as ME 446 and SE 422. See SE 422.
"
ECE 490,Introduction to Optimization,3 or 4,"
Basic theory and methods for the solution of optimization problems; iterative techniques for unconstrained minimization; linear and nonlinear programming with engineering applications. Same as CSE 441. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECE 220 and MATH 415.
"
ECE 491,Numerical Analysis,3 or 4,"
Same as CS 450, CSE 401 and MATH 450. See CS 450.
"
ECE 492,Parallel Progrmg: Sci & Engrg,3 or 4,"
Same as CS 420 and CSE 402. See CS 420.
"
ECE 493,Advanced Engineering Math,3 or 4,"
Same as MATH 487. See MATH 487.
"
ECE 495,Photonic Device Laboratory,3,"
Active photonic devices and lightwave technology. Hands-on experience with several classes of lasers (HeNe laser, semiconductor edge emitting lasers, vertical cavity surface emitting lasers), photodetectors, and photonic systems. Familiarization with experimental optical characterization techniques and equipment. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 487 recommended.
"
ECE 496,Senior Research Project,2,"
Individual research project under the guidance of a faculty member: for example, mathematical analysis, laboratory experiments, computer simulations, software development, circuit design, or device fabrication. Preparation of a written research proposal, including preliminary results. 2 undergraduate hours. No graduate credit. May be repeated. ECE 496 and ECE 499 taken in sequence fulfill the Advanced Composition Requirement. Prerequisite: RHET 105; consent of instructor. This course satisfies the General Education Criteria for:Advanced Composition"
ECE 498,Special Topics in ECE,0 to 4,"
Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 0 to 4 undergraduate hours. 0 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.
"
ECE 499,Senior Thesis,2,"
Completion of the research project begun under ECE 496. Preparation and oral presentation of a written thesis that reports the results of the project. 2 undergraduate hours. No graduate credit. To fulfill the Advanced Composition Requirement, credit must be earned for both ECE 496 and ECE 499. Prerequisite: ECE 496 and consent of instructor.This course satisfies the General Education Criteria for:Advanced Composition"
ECE 500,ECE Colloquium,0,"
Required of all graduate students. Approved for S/U grading only.
"
ECE 508,Manycore Parallel Algorithms,4,"
Algorithm techniques for enhancing the scalability of parallel software: scatter vs. gather, problem decomposition, spatial sorting and binning, privatization for reduced conflicts, tiling for data locality, regularization for improved load balance, compaction to conserve memory bandwidth, double-buffering to overlap latencies, and data layout for improved efficiency of DRAM accesses. Same as CS 508. 4 graduate hours. No professional credit. Prerequisite: ECE 408 or CS 420.
"
ECE 510,Micro and Nanolithography,4,"
Comprehensive foundation in the broad field of micro and nanolithography; the science of optical imaging, photochemistry, and materials issues; technological developments including state-of-the-art commercial lithography systems. Applications of micro and nanolithography to diverse fields including: semiconductor devices, displays, flexible electronics, microelectromechanical systems, and biotechnology. Prerequisite: One of ECE 444, ECE 460, MSE 462, NPRE 429, PHYS 402.
"
ECE 511,Computer Architecture,4,"
Advanced concepts in computer architecture: design, management, and modeling of memory hierarchies; stack-oriented processors; associative processors; pipelined computers; and multiple processor systems. Emphasis on hardware alternatives in detail and their relation to system performance and cost. Same as CSE 521. Prerequisite: ECE 411 or CS 433.
"
ECE 512,Computer Microarchitecture,4,"
Design of high performance computer systems; instruction level concurrency; memory system implementation; pipelining, superscalar, and vector processing; compiler back-end code optimization; profile assisted code transformations; code generation and machine dependent code optimization; cache memory design for multiprocessors; synchronization implementation in multiprocessors; compatibility issues; technology factors; state-of-the-art commercial systems. Prerequisite: ECE 511 and CS 426.
"
ECE 513,Vector Space Signal Processing,4,"
Mathematical tools in a vector space framework, including: finite and infinite dimensional vector spaces, Hilbert spaces, orthogonal projections, subspace techniques, least-squares methods, matrix decomposition, conditioning and regularizations, bases and frames, the Hilbert space of random variables, random processes, iterative methods; applications in signal processing, including inverse problems, filter design, sampling, interpolation, sensor array processing, and signal and spectral estimation. Prerequisite: ECE 310, ECE 313, and MATH 415.
"
ECE 515,Control System Theory & Design,4,"
Feedback control systems emphasizing state space techniques. Basic principles, modeling, analysis, stability, structural properties, optimization, and design to meet specifications. Same as ME 540. Prerequisite: ECE 486.
"
ECE 517,Nonlinear & Adaptive Control,4,"
Design of nonlinear control systems based on stability considerations; Lyapunov and hyperstability approaches to analysis and design of model reference adaptive systems; identifiers, observers, and controllers for unknown plants. Prerequisite: ECE 515.
"
ECE 518,Adv Semiconductor Nanotech,4,"
Semiconductor nanotechnology from the formation and characterization of low-dimensional structures to device applications. Compound semiconductors, epitaxial growth, quantum dots, nanowires, membranes, strain effect, quantum confinement, surface states, 3D transistors, nanolasers, multijunction tandem solar cells, and nanowire thermoelectrics. Handouts are supplemented with papers from the research literature. Critical literature review assignments, research proposals in National Science Foundation format, and oral presentations are required. Prerequisites: ECE 340, ECE 444, and ECE 481.
"
ECE 519,Hardware Verification,4,"
This course teaches algorithms for verification that are applied to very large scale hardware in the chip design industry. The course teaches symbolic model checking, Binary decision diagrams (BDDs), satisfiability (SAT) based algorithms, symbolic simulation, coverage metrics for simulation, automatic assertion generation, analog circuit verification and post Silicon validation algorithms. The course teaches scalable search algorithms that can be applied to discrete and continuous space models. Same as CS 585. 4 graduate hours. No professional credit.
"
ECE 520,EM Waves & Radiating Systems,4,"
Fundamental electromagnetic theory with applications to plane waves, waveguides, cavities, antennas, and scattering; electromagnetic principles and theorems; and solution of electromagnetic boundary-value problems.
"
ECE 523,Plasma Technology of Gaseous Electronics,4,"
Same as NPRE 527. See NPRE 527.
"
ECE 524,Advanced Computer Security,4,"
Same as CS 563. See CS 563.
"
ECE 526,Distributed Algorithms,4,"
Theoretical aspects of distributed algorithms, with an emphasis on formal proofs of correctness and theoretical performance analysis. Algorithms for consensus, clock synchronization, mutual exclusion, debugging of parallel programs, peer-to-peer networks, and distributed function computation; fault-tolerant distributed algorithms; distributed algorithms for wireless networks. Same as CS 539. 4 graduate hours. No professional credit. Prerequisite: One of CS 473, ECE 428, ECE 438.
"
ECE 527,System-On-Chip Design,4,"
System-on-chip (SOC) design methodology and IP (intellectual property) reuse, system modeling and analysis, hardware/software co-design, behavioral synthesis, embedded software, reconfigurable computing, design verification and test, and design space exploration. Class projects focusing on current SOC design and research. Platform FPGA boards and digital cameras are provided to prototype, test, and evaluate SOC designs. Prerequisite: ECE 391 and ECE 425.
"
ECE 528,Analysis of Nonlinear Systems,4,"
Nonlinear dynamics, vector fields and flows, Lyapunov stability theory, regular and singular perturbations, averaging, integral manifolds, input-output and input-to-state stability, and various design applications in control systems and robotics. Same as ME 546 and SE 520. 4 graduate hours. No professional credit. Prerequisite: ECE 515 and MATH 444 or MATH 447.
"
ECE 530,Large-Scale System Analysis,4,"
Fundamental techniques for the analysis of large-scale electrical systems, including methods for nonlinear and switched systems. Emphasis on the importance of the structural characteristics of such systems. Key aspects of static and dynamic analysis methods. Prerequisite: ECE 464 and ECE 476.
"
ECE 531,Theory of Guided Waves,4,"
Propagation of electromagnetic waves in general cylindrical waveguides; stationary principles; non-uniform inhomogeneously filled waveguides; mode and power orthogonality; losses in waveguides; analytical and numerical techniques; microwave integrated circuits waveguides; optical waveguides. Prerequisite: ECE 520. Recommended: MATH 556.
"
ECE 532,Compnd Semicond & Diode Lasers,4,"
Compound semiconductor materials and their optical properties. Diode lasers including quantum well heterostructure lasers, strained layer lasers, and quantum wire and quantum dot lasers. Current topics in diode laser development. Prerequisite: ECE 340 and PHYS 486. Recommended: ECE 455; credit or concurrent registration in ECE 536.
"
ECE 534,Random Processes,4,"
Basic concepts of random processes; linear systems with random inputs; Markov processes; spectral analysis; Wiener and Kalman filtering; applications to systems engineering. Prerequisite: One of ECE 313, MATH 461, STAT 400.
"
ECE 535,Theory of Semicond & Devices,4,"
Introductory quantum mechanics of semiconductors; energy bands; dynamics of Block electrons in static and high-frequency electric and magnetic fields; equilibrium statistics; transport theory, diffusion, drift, and thermoelectric effects; characteristics of p-n junctions, heterojunctions, and transistor devices. Same as PHYS 565. Prerequisite: Senior-level course in quantum mechanics or atomic physics.
"
ECE 536,Integ Optics & Optoelectronics,4,"
Integrated optical and optoelectronic devices; theory of optical devices including laser sources, waveguides, photodetectors, and modulations of these devices. Prerequisite: One of ECE 455, ECE 487, PHYS 486. Recommended: ECE 488.
"
ECE 537,Speech Processing Fundamentals,4,"
Development of an intuitive understanding of speech processing by the auditory system, in three parts. I): The theory of acoustics of speech production, introductory acoustic phonetics, inhomogeneous transmission line theory (and reflectance), room acoustics, the short-time Fourier Transform (and its inverse), and signal processing of speech (LPC, CELP, VQ). II): Psychoacoustics of speech perception, critical bands, masking (JNDs), and the physiology of the auditory pathway (cochlear modeling). III): Information theory entropy, channel capacity, the confusion matrix, state models, EM algorithms, and Bayesian networks. Presentation of classic papers on speech processing and speech perception by student groups. MATLAB (or equivalent) programming in majority of assignments. Prerequisite: ECE 310.
"
ECE 539,Adv Theory Semicond & Devices,4,"
Advanced topics of current interest in the physics of semiconductors and solid-state devices. Prerequisite: ECE 535.
"
ECE 540,Computational Electromagnetics,4,"
Basic computational techniques for numerical analysis of electromagnetics problems, including the finite difference, finite element, and moment methods. Emphasis on the formulation of physical problems into mathematical boundary-value problems, numerical discretization of continuous problems into discrete problems, and development of rudimentary computer codes for simulation of electromagnetic fields in engineering problems using each of these techniques. Same as CSE 530. Prerequisite: CS 357; credit or concurrent registration in ECE 520.
"
ECE 541,Computer Systems Analysis,4,"
Development of analytical models of computer systems and application of such models to performance evaluation: scheduling policies, paging algorithms, multiprogrammed resource management, and queuing theory. Same as CS 541. Prerequisite: One of ECE 313, MATH 461, MATH 463.
"
ECE 542,Fault-Tolerant Dig Syst Design,4,"
Advanced concepts in hardware and software fault tolerance: fault models, coding in computer systems, module and system level fault detection mechanism, reconfiguration techniques in multiprocessor systems and VLSI processor arrays, and software fault tolerance techniques such as recovery blocks, N-version programming, checkpointing, and recovery; survey of practical fault-tolerant systems. Same as CS 536. Prerequisite: ECE 411.
"
ECE 543,Statistical Learning Theory,4,"
Advanced graduate course on modern probabilistic theory of adaptive and learning systems. The following topics will be covered; basics of statistical decision theory; concentration inequalities; supervised and unsupervised learning; empirical risk minimization; complexity-regularized estimation; generalization bounds for learning algorithms; VC dimension and Rademacher complexities; minimax lower bounds; online learning and optimization. Along with the general theory, the course will discuss applications of statistical learning theory to signal processing, information theory, and adaptive control. Basic prerequisites include probability and random processes, calculus, and linear algebra. Other necessary material and background will be introduced as needed. 4 graduate hours. No professional credit. Prerequisite: ECE 534 or equivalent.
"
ECE 544,Topics in Signal Processing,4,"
Lectures and discussions related to advanced topics and new areas of interest in signal processing: speech, image, and multidimensional processing. May be repeated 8 hours in a term to a total of 20 hours. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the ECE department. Prerequisite: As specified each term. It is expected that each offering will have a 500-level course as prerequisite or co-requisite.
"
ECE 545,Advanced Physical Acoustics,4,"
Advanced topics in acoustics including physical properties of a fluid; linear propagation phenomena; nonlinear phenomena such as radiation force, streaming, and harmonic generation; cavitation; absorption and dispersion. Prerequisite: One of ECE 473, ECE 520, TAM 518.
"
ECE 546,Advanced Signal Integrity,4,"
Signal integrity aspects involved in the design of high-speed computers and high-frequency circuits; addressing the functions of limitations of interconnects for system-level integration. Topics explored include packaging structures, power and signal distribution, power level fluctuations, skin effect, parasitics, noise, packaging hierarch, multilayer wiring structures as well as the modeling and simulation of interconnects through the use of computer-aided design (CAD) and computational electromagnetics. Prerequisite: ECE 520.
"
ECE 547,Topics in Image Processing,4,"
Fundamental concepts, techniques, and directions of research in image processing: two-dimensional Fourier transform and filtering, image digitization, coding, restoration, reconstruction, analysis, and recognition. Same as CSE 543. Prerequisite: ECE 310 and ECE 313.
"
ECE 548,Models of Cognitive Processes,4,"
Same as CS 548. See CS 548.
"
ECE 549,Computer Vision,4,"
Information processing approaches to computer vision, algorithms, and architectures for artificial intelligence and robotics systems capable of vision: inference of three-dimensional properties of a scene from its images, such as distance, orientation, motion, size and shape, acquisition, and representation of spatial information for navigation and manipulation in robotics. Same as CS 543. Prerequisite: ECE 448 or CS 225.
"
ECE 550,Advanced Robotic Planning,4,"
Computational approaches to robot motion planning, configuration space, algebraic decompositions, artificial potential fields, retraction, approximate decompositions, planning under uncertainty, grasp planning, and task-level planning. Same as AE 583. Prerequisite: ECE 470.
"
ECE 551,Digital Signal Processing II,4,"
Basic concept review of digital signals and systems; computer-aided digital filter design, quantization effects, decimation and interpolation, and fast algorithms for convolution and the DFT; introduction to adaptive signal processing. Prerequisite: ECE 310 and ECE 313.
"
ECE 552,Numerical Circuit Analysis,4,"
Formulation of circuit equations; sparse matrix algorithms for the solution of large systems, AC, DC, and transient analysis of electrical circuits; sensitivity analysis; decomposition methods. Same as CSE 532. Prerequisite: MATH 415 and ECE 210.
"
ECE 553,Optimum Control Systems,4,"
Theoretical and algorithmic foundations of deterministic optimal control theory, including calculus of variations, maximum principle, and principle of optimality; the Linear-Quadratic-Gaussian design; differential games and H-infinity optimal control design. Prerequisite: ECE 313 and ECE 515.
"
ECE 554,Dynamic System Reliability,4,"
Reliability and dynamic performance evaluation for large-scale and complex systems; building on system-theoretic modeling, analysis, and design techniques. Design methods for reliability including architecture design and filter-based fault detection and isolation. Analytical methods for optimal redundancy allocation, sensitivity analysis methods for iterative system design, and other techniques for design optimization. Mechatronic systems used in aircraft and automotive, power electronic systems, and electrical power systems are examples of applications discussed. Same as ME 544. Prerequisite: ECE 313 and ECE 515, or permission of instructor.
"
ECE 555,Control of Stochastic Systems,4,"
Stochastic control models; development of control laws by dynamic programming; separation of estimation and control; Kalman filtering; self-tuning regulators; dual controllers; decentralized control. Prerequisite: ECE 515 and ECE 534.
"
ECE 556,Coding Theory,4,"
Coding theory with emphasis on the algebraic theory of cyclic codes using finite field arithmetic, decoding of BCH and RS codes, finite field Fourier transform and algebraic geometry codes, convolutional codes, and trellis decoding algorithms. Prerequisite: MATH 417.
"
ECE 557,Geometric Control Theory,4,"
Graduate course on mathematical theory of control and optimization, with a focus on geometric and topological methods. The following topics will be covered: introduction to the basics of differential geometric, Riemannian geometry, algebraic topology and Lie group theory. Control systems on manifolds. Controllability and observability of nonlinear systems. Optimization on manifolds and Lie groups and their applications in signal processing and learning. Control of non-holonomic systems and mechanical systems, rigid body dynamics. Optimal control on manifolds and Lie groups. Feedback linearization and feedback invariants. Introduction to quantum control. 4 graduate hours. No professional credit. Prerequisite: ECE 515 or equivalent is required. A course on state-space control theory, multivariable calculus, linear algebra and overall mathematical maturity are recommended.
"
ECE 558,Digital Imaging,4,"
Multidimensional signals, convolution, transforms, sampling, and interpolation; design of two-dimensional digital filters; sensor array processing and range-doppler imaging; applications to synthetic aperture radar, optics, tomography, radio astronomy, and beam-forming sonar; image estimation from partial data. Prerequisite: ECE 310 and ECE 313.
"
ECE 559,Topics in Communications,4,"
Lectures and discussion related to advanced topics and new areas of interest in the theory of communication systems: information theory, coding theory, and communication network theory. May be repeated in the same term, if topics vary, to a maximum of 12 graduate hours; may be repeated in separate terms, if topics vary, to a maximum of 16 graduate hours. Credit toward a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the ECE department. Prerequisite: As specified each term. (It is expected that each offering will have a 500-level course as a prerequisite or co-requisite.).
"
ECE 560,VLSI in DSP & Communication,4,"
Basic concepts in digital signal processing, VLSI design methodologies, VLSI DSP building blocks; algorithm transformation and mapping techniques, high-speed, low-power transforms, applications to digital filtering; basics of finite-field arithmetic, forward-error correction algorithms, and architectures; DSP implementation platforms, programmable DSPs, media processors, FPGAs, ASICs, case studies of multimedia communications systems, video codecs, xDSL, and cable modems. Homework and a term project apply these concepts in the design of VLSI architectures for digital signal processing and communication systems. Prerequisite: ECE 310.
"
ECE 561,Detection & Estimation Theory,4,"
Detection and estimation theory, with applications to communication, control, and radar systems; decision-theory concepts and optimum-receiver principles; detection of random signals in noise, coherent and noncoherent detection; parameter estimation, linear and nonlinear estimation, and filtering. Prerequisite: ECE 534.
"
ECE 562,Advanced Digital Communication,4,"
Digital communication systems modulation, demodulation, signal space methods, channel models, bit error rate, spectral occupancy, synchronization, equalization, trellis-coded modulation, wireless channels, multiantenna systems, spread spectrum, and orthogonal frequency modulation. 4 graduate hours. No professional credit. Prerequisite: ECE 461 or ECE 459.
"
ECE 563,Information Theory,4,"
Mathematical models for channels and sources; entropy, information, data compression, channel capacity, Shannon's theorems, and rate-distortion theory. Prerequisite: One of ECE 534, MATH 464, MATH 564.
"
ECE 564,Modern Light Microscopy,4,"
Current research topics in modern light microscopy: optics principles (statistical optics, Gaussian optics, elastic light scattering, dynamic light scattering); traditional microscopy (bright field, dark field, DIC, phase contract, confocal, epi-fluorescence, confocal fluorescence); current research topics (multiphoton, CARS, STED, FRET, FIONA, STORM, PALM, quantitative phase). Prerequisite: One of ECE 460, MSE 405, PHYS 402.
"
ECE 565,Energy Dissipation Electronics,4,"
Power dissipation in modern electronics, from fundamentals to system-level issues. Energy transfer through electrons and phonons, mobility and thermal conductivity, power dissipation in modern devices (CMOS, memory, nanowires, nanotubes), circuit leakage, thermal breakdown, interconnects, thermometry, heat sinks. Handouts are supplemented with papers from the research literature, Wikipedia assignments, a final conference-type group paper, and oral presentations required. Prerequisite: ECE 441.
"
ECE 566,Computational Inference and Learning,4,"
Computational inference and machine learning have seen a surge of interest in the last 15 years, motivated by applications as diverse as computer vision, speech recognition, analysis of networks and distributed systems, big-data analytics, large-scale computer simulations, and indexing and searching of very large databases. This course introduces the mathematical and computational methods that enable such applications. Topics include computational methods for statistical inference, sparsity analysis, approximate inference and search, and fast optimization. 4 graduate hours. No professional credit. Prerequisite: ECE 490, ECE 534.
"
ECE 567,Communication Network Analysis,4,"
Performance analysis and design of multiple-user communication systems; emphasis on rigorous formulation and analytical and computational methods; includes queuing networks, decentralized minimum delay routing, and dynamic network flow control. Prerequisite: CS 438; one of ECE 534, MATH 464, MATH 564.
"
ECE 568,Model & Cntrl Electromech Syst,4,"
Fundamental electrical and mechanical laws for derivation of machine models; simplifying transformations of variables in electrical machines; power electronics for motor control; time-scale separation; feedback linearization and nonlinear control as applied to electrical machines. Typical electromechanical applications in actuators, robotics, and variable speed drives. Prerequisite: ECE 431 and ECE 515.
"
ECE 569,Inverse Problems in Optics,4,"
Physical optics, solution of linear inverse problems, and computed imaging. Forward problems in diffraction, asymptotics, ray propagation, x-ray projections, scattering, sources, optical coherence tomography, and near-field optics. Solution of associated inverse problems including back-propagation, back-projection, Radon transforms (x-ray CT), inverse scattering, source localization, interferometric synthetic aperture microscopy, and near-field tomography. Special topics as time permits. Prerequisite: ECE 460.
"
ECE 570,Nonlinear Optics,4,"
Light propagation in anisotropic crystals; second- and third-order nonlinear susceptibility and electro-optic effect; discussion of the relationship of these effects along with such applications as light modulation, harmonic generation, and optical parametric amplification and oscillation. Prerequisite: ECE 520.
"
ECE 571,EM Waves in Inhomogen Media,4,"
Electromagnetic waves in layered media; plane wave expansion of electromagnetic point source field; Sommerfeld integrals; transient response; WKB method with asymptotic matching; scattering by junction discontinuity; surface integral equation; volume integral equation; inverse problems. Prerequisite: MATH 446; ECE 520 or PHYS 505.
"
ECE 572,Quantum Opto-Electronics,4,"
Theoretical approach to quantum mechanics and atomic physics, with many applications in spin resonance and modern maser theory. Prerequisite: PHYS 485 recommended.
"
ECE 573,Power System Control,4,"
Energy control center functions, state estimation and steady state security assessment techniques, economic dispatch, optimal power flow, automatic generation control, and dynamic equivalents. Prerequisite: ECE 476; credit or concurrent registration in ECE 530.
"
ECE 574,Nanophotonics,4,"
Nanoscale interaction between light and semiconductors, metals, or composites; plasmonics, cavity electrodynamics, polarition cavity condensation, sub-wavelength structures, metamaterials, and applications. Prerequisite: ECE 455 or ECE 572; ECE 487 or PHYS 486.
"
ECE 576,Power System Dynm & Stability,4,"
Detailed modeling of the synchronous machine and its controls, such as excitation system and turbine-governor dynamics; time-scales and reduced order models; non-linear and linear multi-machine models; stability analysis using energy functions; power system stabilizers. Prerequisite: ECE 476; credit or concurrent registration in ECE 530.
"
ECE 577,Advanced Antenna Theory,4,"
Selected topics from recent engineering literature on antennas supplemented by advanced topics in electromagnetic theory needed for comprehension; current techniques for analysis of wire, slot, horn, frequency independent, quasi-optical, and array antennas. Prerequisite: ECE 520.
"
ECE 579,Computational Complexity,4,"
Same as CS 579. See CS 579.
"
ECE 580,Optimiz by Vector Space Methds,4,"
Normed, Banach, and Hilbert spaces; applications of the projection theorem and the Hahn-Banach Theorem to problems of minimum norm, least squares estimation, mathematical programming, and optimal control; the Kuhn-Tucker Theorem and Pontryagin's maximum principle; iterative methods. Prerequisite: MATH 415 or MATH 482; MATH 447.
"
ECE 581,Advanced Analog IC Design,4,"
Advanced topics in modern analog IC design. Emphasis on CMOS building blocks and circuit techniques as a result of fabrication technology advancement. Noise in linear analog circuits; linear feedback theory and stability; harmonic distortion in weakly nonlinear circuits; switched-capacitor circuit technique and realization; Nyquist-rate and oversampled data converters. Extensive computer simulations required in both homework and final project. Prerequisite: ECE 310 and ECE 483.
"
ECE 582,Physical VLSI Design,4,"
Basic physical design requirements for VLSI; performance-oriented formulation and optimization of chip partitioning, module placement and interconnection; optimized design and layout of on-chip modules; circuit extraction; high-speed VLSI circuits; yield and reliability analysis; advanced VLSI packaging and parametric testing. Prerequisite: ECE 425 or ECE 482.
"
ECE 584,Embedded System Verification,4,"
Examines formal analysis an synthesis approaches for discrete, continuous, and hybrid models of computing systems and their physical environment. Introduces timed and hybrid automata models. Analysis techniques including model checking, Hoare-style deduction, and abstractions for safety and stability, and controller synthesis strategies with applications in distributed robotics, automobile system, traffic control, and real-time systems. Same as CS 584. 4 graduate hours. No professional credit. Prerequisite: CS 476 or CS 477.
"
ECE 585,MOS Device Modeling & Design,4,"
Techniques for characterizing gate oxide and interface properties and reliability, I-V models for circuit simulation, design for control of short channel effects, silicon-on-insulator, and new device structures. Prerequisite: ECE 441.
"
ECE 586,Topics in Decision and Control,4,"
Lectures and discussions related to advanced topics and new areas of interest in decision and control theory: hybrid, sampled-data, and fault tolerant systems; control over networks; vision-based control; system estimation and identification; dynamic games. May be repeated up to 12 hours within a term, and up to 20 hours total for the course. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the ECE department. Prerequisite: As specified each term. It is expected that each offering will have a 500-level course as prerequisite or co-requisite.
"
ECE 588,Electricity Resource Planning,4,"
Techniques in electricity resource planning including methodologies for reliability evaluation and assessment, production costing, marginal costing, supply-side and demand-side planning, integrated planning, and planning under competition. Prerequisite: MATH 415, ECE 313, and ECE 476.
"
ECE 590,Grad Sem in Special Topics,0 to 2,"
Lectures and discussions on current research and literature on advanced topics in electrical engineering. Approved for S/U grading only. May be repeated. Prerequisite: Consent of instructor.
"
ECE 594,Math Models of Language,3 or 4,"
Mathematical models of linguistic structure and their implementation in computational algorithms used in automatic speech understanding and speech synthesis. Statistical and automata-theoretic techniques are studied allowing a quantitative description of acoustic-phonetics, phonology, phonotactics, lexicons, syntax, and semantics. The methods are used to build components of a speech understanding system. For 4 hours credit, an extended project is required. Prerequisite: ECE 537.
"
ECE 596,Master's Project,1 to 8,"
Individual or team projects in electrical and computer engineering emphasizing advanced engineering analysis and design. May be repeated to a maximum of 16 hours.
"
ECE 597,Individual Study in ECE,1 to 8,"
Individual projects. Approved written application to department as specified by department or instructor is required. May be repeated. Prerequisite: Consent of instructor.
"
ECE 598,Special Topics in ECE,0 to 4,"
Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary.
"
ECE 599,Thesis Research,0 to 16,"
Approved for S/U grading only. May be repeated.
"
